Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,-9999
Tommy Hudson,TE,2021,0,0,0,0,5,0,0,0,0,0,0,0,0,3,31,0,,,,HudsTo00
Talanoa Hufanga,S,2021,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,24,,,HufaTa00
Creed Humphrey,C,2021,0,0,1,9,17,0,0,0,0,0,0,0,0,0,0,0,1,,,HumpCr00
Alaric Jackson,T,2021,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,JackAl01
Deon Jackson,RB,2021,0,0,0,0,9,0,0,0,0,0,13,31,1,0,0,0,,,,JackDe02
Tarron Jackson,DE,2021,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,11,,1.0,JackTa02
Tyree Jackson,TE,2021,0,0,0,0,9,0,0,0,0,0,0,0,0,3,22,1,,,,JackTy01
Jerry Jacobs,DB,2021,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,30,,,JacoJe00
Brenden Jaimes,OL,2021,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,,,,JaimBr00
Shemar Jean-Charles,DB,2021,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,5,,,JeanSh00
Jermar Jefferson,RB,2021,0,0,0,1,7,0,0,0,0,0,15,74,2,4,23,0,,,,JeffJe00
Teven Jenkins,T,2021,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,,,,JenkTe00
Jauan Jennings,WR,2021,0,0,0,2,16,0,0,0,0,0,0,0,0,24,282,5,1,,,JennJa00
Brian Johnson,K,2021,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,,,,JohnBr05
Buddy Johnson,LB,2021,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,,,JohnBu01
Caleb Johnson,LB,2021,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,4,,,JohnCa04
Jamar Johnson,DB,2021,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,JohnJa15
Josh Johnson,RB,2021,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,,,JohnJo06
Patrick Johnson,DE,2021,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,11,,,JohnPa02
Raymond Johnson,DE,2021,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,3,,1.0,JohnRa02
Ernest Jones,LB,2021,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,36,2,1.0,JoneEr01
Jamir Jones,LB,2021,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,7,,,JoneJa11
Mac Jones,QB,2021,0,1,1,14,17,352,521,3801,22,13,44,129,0,0,0,0,1,,,JoneMa05
Naquan Jones,DT,2021,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,18,,2.5,JoneNa01
Patrick Jones II,DL,2021,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,4,,,JonePa00
Robert Jones,T,2021,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,,,,JoneRo02
Brevin Jordan,TE,2021,0,0,0,1,9,0,0,0,0,0,0,0,0,20,178,3,,,,JordBr00
Kelvin Joseph,DB,2021,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,13,,,JoseKe02
Michael Joseph,CB,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,JoseMi00
Joshua Kaindoh,DE,2021,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,KainJo00
Azur Kamara,LB,2021,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,2,,,KamaAz01
Sam Kamara,LB,2021,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,7,,,KamaSa00
Hunter Kampmoyer,,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,KampHu00
Alex Kessman,K,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,KessAl00
Mason Kinsey,WR,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,KinsMa00
Luther Kirk,DB,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,KirkLu00
Malcolm Koonce,DE,2021,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,,2.0,KoonMa00
J.J. Koski,WR,2021,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,KoskJJ00
Tommy Kraemer,G,2021,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,,,,KraeTo02
Christian Kuntz,LB,2021,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,2,,,KuntCh02
Trey Lance,QB,2021,0,0,0,3,6,41,71,603,5,2,38,168,1,0,0,0,,,,LancTr00
Trevor Lawrence,QB,2021,0,0,1,7,17,359,602,3641,12,17,73,334,2,0,0,0,2,,,LawrTr00
Alex Leatherwood,OL,2021,0,0,1,8,17,0,0,0,0,0,0,0,0,0,0,0,,,,LeatAl00
Richard LeCounte,DB,2021,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,2,,,LeCoRi00
John Leglue,G,2021,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,,,,LeglJo00
Deommodore Lenoir,CB,2021,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,12,,,LenoDe00
Nick Leverett,G,2021,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,LeveNi00
Walker Little,OT,2021,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,,,,LittWa00
LaCale London,DT,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,LondLa00
Hunter Long,TE,2021,0,0,0,0,7,0,0,0,0,0,0,0,0,1,8,0,,,,LongHu00
Roy Lopez,DT,2021,0,0,1,6,16,0,0,0,0,0,0,0,0,0,0,0,20,,1.0,LopeRo00
Isaiahh Loudermilk,DE,2021,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,16,,1.0,LoudIs00
Jordan Love,QB,2021,0,0,0,2,6,36,62,411,2,3,12,27,0,0,0,0,,,,LoveJo03
Tyler Mabry,TE,2021,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,MabrTy00
Ledarius Mack,DE,2021,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,,,MackLe01
Jonathan Marshall,DT,2021,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,,,MarsJo00
Terrace Marshall Jr.,WR,2021,0,0,0,1,13,0,0,0,0,0,0,0,0,17,138,0,,,,MarsTe00
