Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
4,117,LAR,Bobby Brown,DL,21,2021,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,College Stats,BrowBo04
4,118,LAC,Chris Rumph,DE,22,2021,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,8,,1.0,Duke,College Stats,RumpCh00
4,119,MIN,Kene Nwangwu,RB,23,2021,0,0,0,2,2,11,0,0,0,0,0,13,61,0,4,9,0,,,,Iowa St.,College Stats,NwanKe00
4,120,NWE,Rhamondre Stevenson,RB,23,2021,0,0,0,5,5,12,0,0,0,0,0,133,606,5,14,123,0,,,,Oklahoma,College Stats,StevRh00
4,121,JAX,Jordan Smith,OLB,23,2021,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,Ala-Birmingham,College Stats,SmitJo03
4,122,CIN,Tyler Shelvin,DT,23,2021,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,,,LSU,College Stats,ShelTy00
4,123,PHI,Zech McPhearson,DB,23,2021,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,7,,,Texas Tech,College Stats,McPhZe00
4,124,WAS,John Bates,TE,23,2021,0,0,0,2,2,17,0,0,0,0,0,0,0,0,20,249,1,2,,,Boise St.,College Stats,BateJo00
4,125,MIN,Camryn Bynum,CB,23,2021,0,0,0,2,2,14,0,0,0,0,0,0,0,0,0,0,0,20,1,1.0,California,College Stats,BynuCa00
4,126,CAR,Chuba Hubbard,RB,22,2021,0,0,0,5,5,17,0,0,0,0,0,172,612,5,25,174,1,1,,,Oklahoma St.,College Stats,HubbCh01
4,127,IND,Kylen Granson,TE,23,2021,0,0,0,1,1,17,0,0,0,0,0,0,0,0,11,106,0,,,,SMU,College Stats,GranKy00
4,128,PIT,Dan Moore,OL,22,2021,0,0,1,7,7,16,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,College Stats,MoorDa05
4,129,TAM,Jaelon Darden,WR,22,2021,0,0,0,0,0,9,0,0,0,0,0,1,11,0,6,43,0,,,,North Texas,College Stats,DardJa00
4,130,LAR,Robert Rochell,DB,23,2021,0,0,0,2,2,11,0,0,0,0,0,0,0,0,0,0,0,11,1,,Central Arkansas,,RochRo00
4,131,BAL,Tylan Wallace,WR,22,2021,0,0,0,0,0,17,0,0,0,0,0,0,0,0,2,23,0,4,,,Oklahoma St.,College Stats,WallTy00
4,132,CLE,Tommy Togiai,DT,21,2021,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,9,,0.5,Ohio St.,College Stats,TogiTo00
4,133,NOR,Ian Book,QB,23,2021,0,0,0,0,0,1,12,20,135,0,2,3,6,0,0,0,0,,,,Notre Dame,College Stats,BookIa00
4,134,MIN,Janarius Robinson,DE,22,,0,0,0,,,,,,,,,,,,,,,,,,Florida St.,College Stats,RobiJa04
4,135,TEN,Rashad Weaver,DL,23,2021,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Pittsburgh,College Stats,WeavRa00
4,136,ARI,Marco Wilson,CB,22,2021,0,0,1,5,5,14,0,0,0,0,0,0,0,0,0,0,0,40,,,Florida,College Stats,WilsMa04
4,137,SEA,Tre Brown,CB,23,2021,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,9,,,Oklahoma,College Stats,BrowTr03
4,138,DAL,Josh Ball,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Marshall,College Stats,BallJo00
4,139,CIN,D'Ante Smith,T,23,2021,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,East Carolina,College Stats,SmitDA03
4,140,PIT,Buddy Johnson,LB,22,2021,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,,,Texas A&M,College Stats,JohnBu01
4,141,LAR,Jacob Harris,WR,24,2021,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,,,Central Florida,College Stats,HarrJa03
4,142,GNB,Royce Newman,G,24,2021,0,0,1,8,8,17,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi,College Stats,NewmRo00
4,143,LVR,Tyree Gillespie,S,23,2021,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,1,,,Missouri,College Stats,GillTy00
4,144,KAN,Joshua Kaindoh,DE,22,2021,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Florida St.,College Stats,KainJo00
5,145,JAX,Luke Farrell,TE,23,2021,0,0,0,0,0,15,0,0,0,0,0,0,0,0,7,56,0,,,,Ohio St.,College Stats,FarrLu00
5,146,NYJ,Jamien Sherwood,DB,21,2021,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,8,,,Auburn,College Stats,SherJa00
5,147,HOU,Brevin Jordan,TE,21,2021,0,0,0,1,1,9,0,0,0,0,0,0,0,0,20,178,3,,,,Miami (FL),College Stats,JordBr00
5,148,ATL,Ta'Quon Graham,DL,22,2021,0,0,0,2,2,13,0,0,0,0,0,0,0,0,0,0,0,8,,,Texas,College Stats,GrahTa00
5,149,CIN,Evan McPherson,K,22,2021,0,0,0,4,4,16,0,0,0,0,0,0,0,0,0,0,0,,,,Florida,College Stats,McPhEv00
5,150,PHI,Kenneth Gainwell,RB,22,2021,0,0,0,5,5,16,0,0,0,0,0,68,291,5,33,253,1,,,,Memphis,College Stats,GainKe00
5,151,CHI,Larry Borom,OL,22,2021,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,0,,,,Missouri,College Stats,BoroLa00
5,152,DEN,Caden Sterns,DB,21,2021,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,22,2,2.0,Texas,College Stats,SterCa00
5,153,CLE,Tony Fields,LB,22,2021,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,2,,,West Virginia,College Stats,FielTo00
5,154,NYJ,Michael Carter,S,22,2021,0,0,0,3,3,15,0,0,0,0,0,0,0,0,0,0,0,45,,1.0,Duke,College Stats,CartMi02
5,155,SFO,Jaylon Moore,T,23,2021,0,0,0,2,2,7,0,0,0,0,0,0,0,0,0,0,0,,,,Western Michigan,College Stats,MoorJa04
5,156,PIT,Isaiahh Loudermilk,DE,23,2021,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,16,,1.0,Wisconsin,College Stats,LoudIs00
5,157,MIN,Ihmir Smith-Marsette,WR,22,2021,0,0,0,1,1,8,0,0,0,0,0,0,0,0,5,116,2,,,,Iowa,College Stats,SmitIh00
5,158,CAR,Daviyon Nixon,DT,22,2021,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,,0.5,Iowa,College Stats,NixoDa00
5,159,LAC,Brenden Jaimes,OL,22,2021,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,,,,Nebraska,College Stats,JaimBr00
5,160,BAL,Shaun Wade,CB,22,2021,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,College Stats,WadeSh00
5,161,BUF,Tommy Doyle,OL,23,2021,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,,,,Miami (OH),College Stats,DoylTo00
5,162,KAN,Noah Gray,TE,22,2021,0,0,0,0,0,16,0,0,0,0,0,0,0,0,7,36,1,,,,Duke,College Stats,GrayNo00
5,163,WAS,Darrick Forrest,S,22,2021,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,,,Cincinnati,College Stats,ForrDa00
5,164,DEN,Jamar Johnson,DB,21,2021,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Indiana,College Stats,JohnJa15
5,165,IND,Shawn Davis,DB,22,2021,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,,Florida,College Stats,DaviSh02
5,166,CAR,Keith Taylor,DB,22,2021,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,31,,,Washington,College Stats,TaylKe03
5,167,LVR,Nate Hobbs,CB,22,2021,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,51,1,1.0,Illinois,College Stats,HobbNa00
