Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Player-additional,Year,G19,GS19,Tgt19,Rec19,Yds19,TD19,G18,GS18,Tgt18,Rec18,Yds18,TD18
96,Demarcus Robinson,KAN,26,WR,16,9,59,45,466,3,26.0,293,6.5,173,3.8,8.9,1,45.0,1,1.7,1,108.4,RobiDe01,2020,16.0,10.0,55.0,32.0,449.0,4.0,16.0,5.0,33.0,22.0,288.0,4.0
97,Dalvin Cook*,MIN,25,RB,14,14,54,44,361,1,17.0,-77,-1.8,438,10.0,-1.8,6,7.3,3,5.6,1,93.0,CookDa01,2020,14.0,14.0,63.0,53.0,519.0,0.0,11.0,10.0,49.0,40.0,305.0,2.0
98,Tyler Higbee,LAR,27,TE,15,15,60,44,521,5,27.0,283,6.4,238,5.4,8.0,4,11.0,3,5.0,0,127.2,HigbTy00,2020,15.0,15.0,89.0,69.0,734.0,3.0,16.0,16.0,34.0,24.0,292.0,2.0
99,Zach Pascal,IND,26,WR,16,14,71,44,629,5,29.0,396,9.0,233,5.3,10.9,1,44.0,3,4.2,2,102.4,PascZa00,2020,16.0,13.0,72.0,41.0,607.0,5.0,16.0,4.0,46.0,27.0,268.0,2.0
100,Gerald Everett,LAR,26,TE,16,7,62,41,417,1,24.0,174,4.2,243,5.9,6.2,6,6.8,7,11.3,1,83.9,EverGe00,2020,13.0,2.0,60.0,37.0,408.0,2.0,16.0,0.0,50.0,33.0,320.0,3.0
101,Myles Gaskin,MIA,23,RB,10,7,47,41,388,2,12.0,0,0.0,388,9.5,0.2,4,10.3,2,4.3,0,115.2,GaskMy00,2020,7.0,0.0,12.0,7.0,51.0,0.0,,,,,,
102,Mecole Hardman,KAN,22,WR,16,8,62,41,560,4,23.0,275,6.7,285,7.0,10.6,2,20.5,8,12.9,0,116.3,HardMe00,2020,16.0,5.0,41.0,26.0,538.0,6.0,,,,,,
103,Jonnu Smith,TEN,25,TE,15,14,65,41,448,8,25.0,210,5.1,238,5.8,5.5,2,20.5,3,4.6,2,110.1,SmitJo01,2020,16.0,14.0,44.0,35.0,439.0,3.0,13.0,12.0,30.0,20.0,258.0,3.0
104,Chris Conley,JAX,28,,15,4,63,40,471,2,24.0,291,7.3,180,4.5,10.3,4,10.0,4,6.3,1,90.1,ConlCh00,2020,16.0,14.0,90.0,47.0,775.0,5.0,16.0,13.0,52.0,32.0,334.0,5.0
105,Michael Pittman Jr.,IND,23,WR,13,8,61,40,503,1,22.0,210,5.3,293,7.3,8.4,2,20.0,1,1.6,1,89.7,PittMi01,2020,,,,,,,,,,,,
106,Drew Sample,CIN,24,TE,16,13,53,40,349,1,16.0,151,3.8,198,5.0,4.2,5,8.0,3,5.7,1,90.8,SampDr00,2020,9.0,2.0,6.0,5.0,30.0,0.0,,,,,,
107,Michael Thomas,NOR,27,WR,7,5,55,40,438,0,25.0,356,8.9,82,2.1,9.6,1,40.0,1,1.8,1,88.3,ThomMi05,2020,16.0,15.0,185.0,149.0,1725.0,9.0,16.0,16.0,147.0,125.0,1405.0,9.0
